,city,temp,humidity,clouds,wind_speed,lat,lon
295,lazurne,41.45,100,0,0.87,45.712676033182646,32.16804007736073
296,san isidro,81.82,98,64,7.07,5.853953799206607,129.5559763773465
297,mirandopolis,75.25,83,8,1.27,-21.101172881520924,-51.03967440874575
298,srednekolymsk,-15.02,69,20,10.02,72.71960379177804,155.7113709926403
299,ucluelet,46.94,92,90,3.1,48.33196199659929,-125.13336823070247
300,sao sebastiao,82.22,100,0,6.92,-24.617818691250548,-45.330216017738906
301,iwaki,37.4,64,40,7.7,37.07427994269659,140.92947664321161
302,leshukonskoye,-1.03,100,76,10.97,68.64673015223798,47.794922140601926
303,longyearbyen,-19.25,85,24,5.67,88.63476693699985,20.427267967772508
304,praia,76.1,100,12,6.92,10.464411465704657,-23.233888996561973
305,novorzhev,31.37,95,92,2.52,57.298333974955085,29.57497196140139
306,colombia,66.43,77,8,0.77,3.092755278991305,-74.66554880809814
307,nome,19.9,92,92,11.32,63.66398563186354,-167.59478499745475
308,barabai,79.34,92,92,1.62,-2.740522110050904,115.17909159195625
309,tessalit,47.75,46,0,2.12,22.81074963569992,0.7716536954365267
310,mattru,80.02,100,80,5.12,4.144103984076779,-14.086923884483753
311,sarkand,-14.84,65,0,0.97,46.60323403860855,79.79698336090217
312,polyarnyy,28.72,100,20,8.62,71.71830173348897,34.89206378439576
313,bundaberg,84.2,58,75,7.7,-25.039753178081966,152.63366318868935
314,kushima,51.8,53,20,5.1,30.788292005865728,131.2569371093379
315,poli,63.82,67,0,1.37,8.119726854220929,13.543105068907408
316,kununurra,107.69,23,0,4.17,-20.172113427771293,126.69674871720196
317,kloulklubed,80.92,100,20,6.37,9.153495759392712,130.992399812261
318,flinders,91.94,25,0,2.67,-30.408014607867543,129.56240738909128
319,goderich,81.19,100,0,3.22,6.937819640652151,-14.408134257965372
320,sayat,43.3,94,92,0.87,37.345126041315396,63.62863908137783
321,rawson,47.66,100,80,2.67,-50.76271688061487,-57.604175584307654
322,vrangel,36.32,100,0,3.32,40.137183395252805,132.85104934790337
323,charlestown,74.8,100,92,9.02,16.368238338957823,-63.333971665795346
324,victoria,83.44,100,44,7.17,-2.819869132926371,63.53821943521663
325,jinji,62.87,91,88,1.57,23.05237071008942,110.76147778783024
326,sioux lookout,-22.22,65,24,5.27,54.93089173782849,-92.54903553147908
327,luderitz,68.72,100,76,0.42,-31.879468643597484,0.9533072271444496
328,hirara,72.82,100,0,7.62,22.478902106519357,127.42579004377302
329,santa rosa,65.53,34,0,4.32,-36.58467672798649,-64.5746596160484
330,henties bay,71.02,100,92,7.07,-22.812266450174704,5.866125950475322
331,tres arroyos,69.4,98,0,6.57,-38.73456019252998,-59.56645836032823
332,afyonkarahisar,22.37,80,0,1.17,38.97178978744972,30.2399478863627
333,kruisfontein,34.3,100,80,4.07,-62.04643241693998,27.299888995787256
334,beisfjord,-16.46,65,64,1.22,68.03861467043907,17.868875347467934
335,guicheng,62.15,99,80,1.67,23.482015687029488,109.84397325598508
336,geraldton,69.67,100,92,11.47,-29.158660558175093,109.60482123116833
337,kabo,69.13,68,0,1.32,7.293948305381576,18.96231163257937
338,buqayq,57.79,95,92,0.82,26.515106316699246,48.78070348758146
339,fevik,28.4,86,92,5.7,58.19569602740833,9.089419138743267
340,kieta,84.2,100,8,5.97,-2.0538419427956427,159.81586489940753
341,ilulissat,-47.69,0,0,7.62,73.36907621723753,-42.852443817673844
342,vaitupu,80.96,100,80,6.92,5.764369584502347,-177.02430031540598
343,ilinskiy,17.29,89,92,2.52,58.697064675597176,55.377496280093254
344,sibu,81.1,95,64,6.82,5.7177697726574195,109.23380491059498
345,salmas,32.0,100,40,1.0,38.022914712399825,44.73555578083261
346,vallenar,66.43,100,0,3.57,-27.857778277360858,-73.68551514299222
347,quelimane,79.25,100,56,3.22,-18.6315105258805,37.07222524396727
348,wajid,72.73,50,0,4.62,3.40161481649875,42.71509483009663
349,kupang,81.64,100,36,9.97,-10.646510174999463,124.19607401310373
350,karamay,-0.17,68,56,1.02,46.36263683240415,84.02176585103234
351,lashio,63.82,74,0,0.62,23.040737740617914,97.30817987906784
352,grindavik,43.75,100,88,9.57,56.41878698307508,-23.754441572234157
353,georgetown,78.67,100,20,3.67,-2.3448563539025713,-13.461255112843617
354,nelson bay,74.53,100,88,11.57,-33.584225727858296,154.15450910727645
355,jiaojiang,62.15,94,76,5.52,28.48940633447819,122.48274597148725
356,namibe,77.09,100,100,3.42,-11.050974722452935,5.88117971272797
357,lompoc,62.6,97,92,14.02,30.8729604005068,-126.40078458249594
358,sao raimundo nonato,78.8,49,64,2.82,-9.678313921407579,-43.14378194621676
359,xinzhou,24.8,53,12,1.0,38.096130036990075,112.85602835510173
360,grand gaube,83.53,100,0,1.67,-13.256360836953363,66.26282728824904
361,kuminskiy,-6.29,74,76,4.37,58.46056742495023,65.9952091822301
362,bandar-e lengeh,73.0,98,64,8.82,25.767448349869227,54.14298413843795
363,marzuq,37.99,71,0,1.32,22.753876290699168,15.315240414147837
364,havre,24.98,84,1,3.1,48.312689489991925,-109.33792108749022
365,heihe,-13.0,62,0,2.07,50.53151477015538,126.94460440994493
366,ilam,33.8,86,0,2.1,33.93590598957883,46.07898387617308
367,jiwani,74.57,100,0,5.32,23.59349695131533,61.33540703981308
368,verkhoyansk,-51.61,0,32,0.17,68.0751105512494,133.13970001264596
369,pont-a-mousson,37.76,100,90,1.0,48.86651022251144,5.886178000728961
370,wagar,68.0,83,0,6.47,16.2466423168826,35.73102976414839
371,college,-14.89,83,20,8.7,70.5656127447763,-148.66839806434024
372,amahai,83.66,100,8,6.72,-3.9042073036778646,128.9086312381316
373,port hedland,97.52,13,0,4.27,-25.386018766789604,121.7903123746135
374,arusha,59.0,93,20,0.62,-3.873874326627913,36.460864596208864
375,vardo,-12.59,81,76,6.12,89.80387773928251,36.32197965689582
376,hellvik,39.29,100,76,9.17,57.099710654239544,5.376468313660382
377,okha,27.59,100,92,17.62,55.21033047896418,147.56712224243938
378,carballo,51.67,100,36,13.47,45.66473456237492,-11.269707891948059
